,home_team,away_team,projected_spread,projected_total
0,FIU,PM	124 New Mexico St.,-0.9,157.0
1,Cornell,PM	0 Alfred St.,,
2,Merrimack,PM	291 Mount St. Mary's,-5.3,136.0
3,Canisius,PM	273 Fairfield,-2.4,134.0
4,Niagara,PM	306 Sacred Heart,-2.7,139.0
5,Western Kentucky,PM	144 Sam Houston St.,-3.5,166.0
6,Michigan,PM	39 USC,-22.6,173.0
7,Detroit Mercy,PM	173 Robert Morris,-0.3,151.0
8,Iona,PM	161 Siena,-3.6,145.0
9,Liberty,PM	160 Kennesaw St.,-8.9,155.0
10,Delaware,PM	224 Jacksonville St.,-0.1,127.0
11,Saint Peter's,PM	151 Marist,-3.5,128.0
12,Chicago St.,PM	264 Wagner,-0.8,147.0
13,Manhattan,PM	130 Quinnipiac,-7.4,161.0
14,McNeese St.,PM	234 Lamar,-16.3,138.0
15,Saint Francis,PM	292 Le Moyne,-3.0,159.0
16,LIU,PM	302 Central Connecticut,-9.4,148.0
17,Stonehill,PM	344 New Haven,-3.3,125.0
18,Maryland,PM	62 Oregon,-0.9,151.0
19,Middle Tennessee,PM	178 Louisiana Tech,-7.0,125.0
20,Mercyhurst,PM	354 Fairleigh Dickinson,-7.8,136.0
21,Stanford,PM	11 Louisville,-8.8,161.0
22,Rutgers,PM	37 Ohio St.,-10.2,147.0
23,Missouri St.,PM	232 UTEP,-4.1,128.0
24,Nebraska,PM	16 Michigan St.,-1.0,143.0
25,Iowa St.,PM	54 West Virginia,-13.8,140.0
26,Gonzaga,PM	107 Seattle,-21.7,152.0
27,Washington St.,PM	126 Loyola Marymount,-1.6,139.0
28,Pacific,PM	171 Oregon St.,-5.4,137.0
29,Saint Mary's,PM	220 Portland,-23.4,148.0
30,San Francisco,PM	196 San Diego,-12.7,147.0
31,Santa Clara,PM	265 Pepperdine,-23.7,148.0
32,California,PM	70 Notre Dame,-3.0,137.0
